Cambio Tecnología Sunmi — La Pampa | Capital;;;;;;;;;;;;;??  Avance General — Capital;;;;;;;;;;;;;;;;;;;;;;
Fecha Inicio:;10/08/2026;Fecha Fin:;22/08/2026;;;;;;;;;49,83%;49,8%;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
;;;;;;;;;;;;;;;;;;;20%;;;;40%;;;;60%;;;;80%;;;;100%
N°;Agencia;Back;Sunmi;LH;Tjs;Inicio;Final;Días;% Avance;Estado;Est. Capital;;;;;;;;;;;;;;;;;;;;;;;;
2.1.1;1;;2;1;1;mi 19/08/2026;20/08/2026;1;50%;Falta LH;En Proceso;;;;;;;;;;;;;;;;;;;;;;;;
2.1.2;3;;3;1;2;vi 21/08/2026;21/08/2026;1;50%;Falta LH;En Proceso;;;;;;;;;;;;;;;;;;;;;;;;
2.1.3;4;;12;1;11;mi 19/08/2026;21/08/2026;2;50%;Falta LH;En Proceso;;;;;;;;;;;;;;;;;;;;;;;;
2.1.4;5;;16;1;15;ju 20/08/2026;23/08/2026;3;50%;Falta LH;En Proceso;;;;;;;;;;;;;;;;;;;;;;;;
2.1.5;7;;9;1;8;ju 20/08/2026;21/08/2026;1;50%;Falta LH;En Proceso;;;;;;;;;;;;;;;;;;;;;;;;
2.1.6;9;;10;1;9;mi 19/08/2026;20/08/2026;1;50%;Falta LH;En Proceso;;;;;;;;;;;;;;;;;;;;;;;;
2.1.7;12;;8;1;7;ju 20/08/2026;21/08/2026;1;50%;Falta LH;En Proceso;;;;;;;;;;;;;;;;;;;;;;;;
2.1.8;13;;5;1;4;mi 19/08/2026;20/08/2026;1;50%;Falta LH;En Proceso;;;;;;;;;;;;;;;;;;;;;;;;
2.1.9;14;;6;1;5;lu 10/08/2026;11/08/2026;1;75%;En Proceso;En Proceso;;;;;;;;;;;;;;;;;;;;;;;;
2.1.10;15;;6;1;5;mi 19/08/2026;21/08/2026;2;50%;Falta LH;En Proceso;;;;;;;;;;;;;;;;;;;;;;;;
2.1.11;16;;4;1;3;vi 21/08/2026;21/08/2026;1;50%;Falta LH;En Proceso;;;;;;;;;;;;;;;;;;;;;;;;
2.1.12;18;;4;1;3;ju 20/08/2026;21/08/2026;1;50%;Falta LH;En Proceso;;;;;;;;;;;;;;;;;;;;;;;;
2.1.13;19;;3;1;2;vi 21/08/2026;21/08/2026;1;100%;Completado;Operativa;;;;;;;;;;;;;;;;;;;;;;;;
2.1.14;21;;9;1;8;ju 20/08/2026;22/08/2026;2;50%;Falta LH;En Proceso;;;;;;;;;;;;;;;;;;;;;;;;
2.1.15;24;;4;1;3;ju 20/08/2026;21/08/2026;1;50%;Falta LH;En Proceso;;;;;;;;;;;;;;;;;;;;;;;;
2.1.16;25;25;5;1;4;mi 19/08/2026;20/08/2026;1;30%;En Proceso;En Proceso;;;;;;;;;;;;;;;;;;;;;;;;
2.1.17;26;;10;1;9;vi 21/08/2026;21/08/2026;2;50%;Falta LH;En Proceso;;;;;;;;;;;;;;;;;;;;;;;;
2.1.18;27;;4;1;3;ju 20/08/2026;21/08/2026;1;30%;En Proceso;En Proceso;;;;;;;;;;;;;;;;;;;;;;;;
2.1.19;28;;6;1;5;mi 19/08/2026;20/08/2026;1;30%;En Proceso;En Proceso;;;;;;;;;;;;;;;;;;;;;;;;
2.1.20;29;;3;1;2;vi 21/08/2026;21/08/2026;1;50%;Falta LH;En Proceso;;;;;;;;;;;;;;;;;;;;;;;;
2.1.21;30;;2;1;1;vi 21/08/2026;21/08/2026;1;50%;Falta LH;En Proceso;;;;;;;;;;;;;;;;;;;;;;;;
2.1.22;91;;5;1;4;lu 10/08/2026;11/08/2026;1;50%;Falta LH;En Proceso;;;;;;;;;;;;;;;;;;;;;;;;
2.1.23;95;;2;1;1;vi 21/08/2026;22/08/2026;1;100%;Completado;Operativa;;;;;;;;;;;;;;;;;;;;;;;;
2.1.24;103;;6;1;5;vi 21/08/2026;21/08/2026;2;50%;Falta LH;En Proceso;;;;;;;;;;;;;;;;;;;;;;;;
2.1.25;105;;4;1;3;mi 12/08/2026;13/08/2026;1;50%;Falta LH;En Proceso;;;;;;;;;;;;;;;;;;;;;;;;
2.1.26;110;;2;1;1;vi 21/08/2026;22/08/2026;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.27;135;;2;1;1;vi 21/08/2026;21/08/2026;1;100%;Completado;Operativa;;;;;;;;;;;;;;;;;;;;;;;;
2.1.28;136;;6;1;5;ju 20/08/2026;21/08/2026;1;30%;En Proceso;En Proceso;;;;;;;;;;;;;;;;;;;;;;;;
2.1.29;137;;3;1;2;vi 21/08/2026;22/08/2026;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOTALES;;25;161;29;132;;;;49,8%;;;;;;;;;;;;;;;;;;;;;;;;;;
