Cambio Tecnología Sunmi — La Pampa | Interior;;;;;;;;;;;;;;??  Avance General — Interior;;;;;;;;;;;;;;;;;;;;;;
Fecha Inicio:;06/07/2026;;Fecha Fin:;07/09/2026;;;;;;;;;;11,2%;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
;;;;;;;;;;;;;;;;;;;;20%;;;;40%;;;;60%;;;;80%;;;;100%
N°;Agencia N°;Localidad;Back;Sunmi;LH;Tjs;Inicio;Final;Días;% Avance;Estado;Est. Interior;;;;;;;;;;;;;;;;;;;;;;;;
2.1.29;22;Conhelo;1;2;1;1;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.30;17;Toay;;3;1;2;lu 24/08/2026;25/08/2026;1;30%;En Proceso;En Proceso;;;;;;;;;;;;;;;;;;;;;;;;
2.1.31;52;Toay;2;5;1;4;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.32;117;Toay;;3;1;2;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.33;49;Eduardo Castex;;5;1;4;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.34;50;Eduardo Castex;2;10;1;9;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.35;60;Eduardo Castex;;1;1;0;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.36;132;Eduardo Castex;;4;1;3;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.37;68;Anguil;1;3;1;2;mi 19/08/2026;20/08/2026;1;50%;Falta LH;En Proceso;;;;;;;;;;;;;;;;;;;;;;;;
2.1.38;111;Uriburu;1;2;1;1;lu 24/08/2026;25/08/2026;1;100%;Completado;Operativa;;;;;;;;;;;;;;;;;;;;;;;;
2.1.39;54;Realico;;3;1;2;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.40;55;Realico;3;10;1;9;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.41;56;Realico;;4;1;3;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.42;78;Lonquimay;;2;1;1;lu 24/08/2026;25/08/2026;1;100%;Completado;Operativa;;;;;;;;;;;;;;;;;;;;;;;;
2.1.43;138;Lonquimay;;2;;2;lu 24/08/2026;25/08/2026;1;100%;Completado;Operativa;;;;;;;;;;;;;;;;;;;;;;;;
2.1.44;46;General Acha;;12;1;11;;;1;,,;En Proceso;En Proceso;;;;;;;;;;;;;;;;;;;;;;;;
2.1.45;47;General Acha;5;14;1;13;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.46;48;General Acha;;17;1;16;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.47;130;General Acha;;5;1;4;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.48;69;Quemu Quemu;;8;1;7;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.49;58;Intendente Alvear;;12;1;11;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.50;106;Intendente Alvear;2;5;1;4;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.51;121;Intendente Alvear;;5;1;4;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.52;66;Doblas;;4;1;3;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.53;80;La Maruja;;1;1;0;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.54;63;Alpachiri;;2;1;1;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.55;64;Alpachiri;;1;1;0;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.56;73;Bernasconi;1;1;1;0;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.57;74;Bernasconi;;2;1;1;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.58;75;Jacinto Arauz;1;5;1;4;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.59;81;Colonia Baron;;4;1;3;lu 24/08/2026;25/08/2026;1;50%;Falta LH;En Proceso;;;;;;;;;;;;;;;;;;;;;;;;
2.1.60;82;Colonia Baron;;4;1;3;lu 24/08/2026;25/08/2026;1;100%;Completado;Operativa;;;;;;;;;;;;;;;;;;;;;;;;
2.1.61;87;Guatrache;2;8;1;7;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.62;88;Guatrache;;3;1;2;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.63;84;Ingeniero Luiggi;;4;1;3;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.64;85;Ingeniero Luiggi;;6;1;5;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.65;71;Caleufu;;3;1;2;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.66;31;General Pico;;29;2;27;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.67;32;General Pico;;8;1;7;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.68;33;General Pico;;2;1;1;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.69;39;General Pico;8;8;1;7;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.70;41;General Pico;;3;1;2;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.71;45;General Pico;;2;1;1;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.72;98;General Pico;;4;2;2;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.73;99;General Pico;;3;1;2;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.74;112;General Pico;;4;1;3;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.75;114;General Pico;;2;1;1;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.76;115;General Pico;;2;1;1;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.77;76;Santa Isabel;1;2;1;1;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.78;67;Trenel;;2;1;1;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.79;118;Trenel;1;3;1;2;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.80;133;Trenel;;4;1;3;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.81;101;Alta Italia;;1;1;0;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.82;134;Alta Italia;;2;1;1;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.83;77;San Martin;1;3;1;2;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.84;79;Miguel Riglos;1;5;1;4;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.85;86;Embajador Martini;;1;1;0;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.86;89;Parera;1;3;1;2;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.87;92;Victorica;2;6;1;5;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.88;93;Victorica;;13;1;12;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.89;94;25 de mayo;;5;1;4;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.90;128;25 de mayo;1;3;1;2;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.91;96;Winifreda;1;4;1;3;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.92;97;Bernardo Larroude;1;3;1;2;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.93;100;Rancul;2;10;1;9;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.94;102;Arata;1;3;1;2;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.95;104;Catrilo;1;2;1;1;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.96;125;Catrilo;;2;1;1;lu 24/08/2026;25/08/2026;1;100%;Completado;Operativa;;;;;;;;;;;;;;;;;;;;;;;;
2.1.97;113;La Adela;1;3;1;2;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.98;108;Macachin;1;4;1;3;mi 12/08/2026;13/08/2026;1;75%;En Proceso;En Proceso;;;;;;;;;;;;;;;;;;;;;;;;
2.1.99;129;Macachin;;4;1;3;mi 12/08/2026;13/08/2026;1;100%;Completado;Operativa;;;;;;;;;;;;;;;;;;;;;;;;
2.1.100;124;Puelen;1;2;1;1;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
2.1.101;127;Rolon;1;2;1;1;;;1;0%;Pendiente;Pendiente;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOTALES;;;47;344;74;270;;;;11,2%;;;;;;;;;;;;;;;;;;;;;;;;;;
